world,class,operation,passed,shortest_witness
25,mutation,boundary,1,boundary=open
25,mutation,warrant,1,warrant=definition
25,mutation,continuation,1,continuation=0
25,mutation,role,1,role=participant
26,admissible,rename,1,
26,admissible,rigid_isometry,1,
26,admissible,edge_order,1,
26,admissible,full_iso,1,
26,mutation,metric,1,out_edge_type=G
26,mutation,edge_type,1,out_edge_type=G
26,mutation,boundary,1,boundary=open
26,mutation,warrant,1,warrant=definition
26,mutation,continuation,1,continuation=0
26,mutation,role,1,role=participant
27,admissible,rename,1,
27,admissible,rigid_isometry,1,
27,admissible,edge_order,1,
27,admissible,full_iso,1,
27,mutation,metric,1,out_edge_type=G
27,mutation,edge_type,1,out_edge_type=G
27,mutation,boundary,1,boundary=open
27,mutation,warrant,1,warrant=definition
27,mutation,continuation,1,continuation=0
27,mutation,role,1,role=participant
28,admissible,rename,1,
28,admissible,rigid_isometry,1,
28,admissible,edge_order,1,
28,admissible,full_iso,1,
28,mutation,metric,1,out_edge_type=G
28,mutation,edge_type,1,out_edge_type=G
28,mutation,boundary,1,boundary=open
28,mutation,warrant,1,warrant=definition
28,mutation,continuation,1,continuation=0
28,mutation,role,1,role=participant
29,admissible,rename,1,
29,admissible,rigid_isometry,1,
29,admissible,edge_order,1,
29,admissible,full_iso,1,
29,mutation,metric,1,out_edge_type=G
29,mutation,edge_type,1,out_edge_type=G
29,mutation,boundary,1,boundary=open
29,mutation,warrant,1,warrant=definition
29,mutation,continuation,1,continuation=0
29,mutation,role,1,role=participant
30,admissible,rename,1,
30,admissible,rigid_isometry,1,
30,admissible,edge_order,1,
30,admissible,full_iso,1,
30,mutation,metric,1,exists_metric_le=3.0
30,mutation,edge_type,1,out_edge_type=G
30,mutation,boundary,1,boundary=open
30,mutation,warrant,1,warrant=definition
30,mutation,continuation,1,continuation=0
30,mutation,role,1,role=participant
31,admissible,rename,1,
31,admissible,rigid_isometry,1,
31,admissible,edge_order,1,
31,admissible,full_iso,1,
31,mutation,metric,1,out_edge_type=G
31,mutation,edge_type,1,out_edge_type=G
31,mutation,boundary,1,boundary=open
31,mutation,warrant,1,warrant=definition
31,mutation,continuation,1,continuation=0
31,mutation,role,1,role=participant
32,admissible,rename,1,
32,admissible,rigid_isometry,1,
32,admissible,edge_order,1,
32,admissible,full_iso,1,
32,mutation,metric,1,exists_metric_le=1.25
32,mutation,edge_type,1,out_edge_type=G
32,mutation,boundary,1,boundary=open
32,mutation,warrant,1,warrant=definition
32,mutation,continuation,1,continuation=0
32,mutation,role,1,role=participant
33,admissible,rename,1,
33,admissible,rigid_isometry,1,
33,admissible,edge_order,1,
33,admissible,full_iso,1,
33,mutation,metric,1,typed_neighbor=G@3.0
33,mutation,edge_type,1,out_edge_type=G
33,mutation,boundary,1,boundary=open
33,mutation,warrant,1,warrant=definition
33,mutation,continuation,1,continuation=0
33,mutation,role,1,role=participant
34,admissible,rename,1,
34,admissible,rigid_isometry,1,
34,admissible,edge_order,1,
34,admissible,full_iso,1,
34,mutation,metric,1,typed_neighbor=G@1.25
34,mutation,edge_type,1,out_edge_type=G
34,mutation,boundary,1,boundary=open
34,mutation,warrant,1,warrant=definition
34,mutation,continuation,1,continuation=0
34,mutation,role,1,role=participant
35,admissible,rename,1,
35,admissible,rigid_isometry,1,
35,admissible,edge_order,1,
35,admissible,full_iso,1,
35,mutation,metric,1,exists_metric_le=3.0
35,mutation,edge_type,1,out_edge_type=G
35,mutation,boundary,1,boundary=open
35,mutation,warrant,1,warrant=definition
35,mutation,continuation,1,continuation=0
35,mutation,role,1,role=participant
36,admissible,rename,1,
36,admissible,rigid_isometry,1,
36,admissible,edge_order,1,
36,admissible,full_iso,1,
36,mutation,metric,1,out_edge_type=G
36,mutation,edge_type,1,out_edge_type=G
36,mutation,boundary,1,boundary=open
36,mutation,warrant,1,warrant=definition
36,mutation,continuation,1,continuation=0
36,mutation,role,1,role=participant
37,admissible,rename,1,
37,admissible,rigid_isometry,1,
37,admissible,edge_order,1,
37,admissible,full_iso,1,
37,mutation,metric,1,out_edge_type=G
37,mutation,edge_type,1,out_edge_type=G
37,mutation,boundary,1,boundary=open
37,mutation,warrant,1,warrant=definition
37,mutation,continuation,1,continuation=0
37,mutation,role,1,role=participant
38,admissible,rename,1,
38,admissible,rigid_isometry,1,
38,admissible,edge_order,1,
38,admissible,full_iso,1,
38,mutation,metric,1,out_edge_type=G
38,mutation,edge_type,1,out_edge_type=G
38,mutation,boundary,1,boundary=open
38,mutation,warrant,1,warrant=definition
38,mutation,continuation,1,continuation=0
38,mutation,role,1,role=participant
39,admissible,rename,1,
39,admissible,rigid_isometry,1,
39,admissible,edge_order,1,
39,admissible,full_iso,1,
39,mutation,metric,1,exists_metric_le=1.25
39,mutation,edge_type,1,out_edge_type=G
39,mutation,boundary,1,boundary=open
39,mutation,warrant,1,warrant=definition
39,mutation,continuation,1,continuation=0
39,mutation,role,1,role=participant
40,admissible,rename,1,
40,admissible,rigid_isometry,1,
40,admissible,edge_order,1,
40,admissible,full_iso,1,
40,mutation,metric,1,out_edge_type=G
40,mutation,edge_type,1,out_edge_type=G
40,mutation,boundary,1,boundary=open
40,mutation,warrant,1,warrant=definition
40,mutation,continuation,1,continuation=0
40,mutation,role,1,role=participant
41,admissible,rename,1,
41,admissible,rigid_isometry,1,
41,admissible,edge_order,1,
41,admissible,full_iso,1,
41,mutation,metric,1,out_edge_type=G
41,mutation,edge_type,1,out_edge_type=G
41,mutation,boundary,1,boundary=open
41,mutation,warrant,1,warrant=definition
41,mutation,continuation,1,continuation=0
41,mutation,role,1,role=participant
42,admissible,rename,1,
42,admissible,rigid_isometry,1,
42,admissible,edge_order,1,
42,admissible,full_iso,1,
42,mutation,metric,1,out_edge_type=G
42,mutation,edge_type,1,out_edge_type=G
42,mutation,boundary,1,boundary=open
42,mutation,warrant,1,warrant=definition
42,mutation,continuation,1,continuation=0
42,mutation,role,1,role=participant
43,admissible,rename,1,
43,admissible,rigid_isometry,1,
43,admissible,edge_order,1,
43,admissible,full_iso,1,
43,mutation,metric,1,out_edge_type=G
43,mutation,edge_type,1,out_edge_type=G
43,mutation,boundary,1,boundary=open
43,mutation,warrant,1,warrant=definition
43,mutation,continuation,1,continuation=0
43,mutation,role,1,role=participant
44,admissible,rename,1,
44,admissible,rigid_isometry,1,
44,admissible,edge_order,1,
44,admissible,full_iso,1,
44,mutation,metric,1,out_edge_type=G
44,mutation,edge_type,1,out_edge_type=G
44,mutation,boundary,1,boundary=open
44,mutation,warrant,1,warrant=definition
44,mutation,continuation,1,continuation=0
44,mutation,role,1,role=participant
45,admissible,rename,1,
45,admissible,rigid_isometry,1,
45,admissible,edge_order,1,
45,admissible,full_iso,1,
45,mutation,metric,1,out_edge_type=G
45,mutation,edge_type,1,out_edge_type=G
45,mutation,boundary,1,boundary=open
45,mutation,warrant,1,warrant=definition
45,mutation,continuation,1,continuation=0
45,mutation,role,1,role=participant
46,admissible,rename,1,
46,admissible,rigid_isometry,1,
46,admissible,edge_order,1,
46,admissible,full_iso,1,
46,mutation,metric,1,out_edge_type=G
46,mutation,edge_type,1,out_edge_type=G
46,mutation,boundary,1,boundary=open
46,mutation,warrant,1,warrant=definition
46,mutation,continuation,1,continuation=0
46,mutation,role,1,role=participant
47,admissible,rename,1,
47,admissible,rigid_isometry,1,
47,admissible,edge_order,1,
47,admissible,full_iso,1,
47,mutation,metric,1,out_edge_type=G
47,mutation,edge_type,1,out_edge_type=G
47,mutation,boundary,1,boundary=open
47,mutation,warrant,1,warrant=definition
47,mutation,continuation,1,continuation=0
47,mutation,role,1,role=participant
48,admissible,rename,1,
48,admissible,rigid_isometry,1,
48,admissible,edge_order,1,
48,admissible,full_iso,1,
48,mutation,metric,1,out_edge_type=G
48,mutation,edge_type,1,out_edge_type=G
48,mutation,boundary,1,boundary=open
48,mutation,warrant,1,warrant=definition
48,mutation,continuation,1,continuation=0
48,mutation,role,1,role=participant
49,admissible,rename,1,
49,admissible,rigid_isometry,1,
49,admissible,edge_order,1,
49,admissible,full_iso,1,
49,mutation,metric,1,out_edge_type=G
49,mutation,edge_type,1,out_edge_type=G
49,mutation,boundary,1,boundary=open
49,mutation,warrant,1,warrant=definition
49,mutation,continuation,1,continuation=0
49,mutation,role,1,role=participant
50,admissible,rename,1,
50,admissible,rigid_isometry,1,
50,admissible,edge_order,1,
50,admissible,full_iso,1,
50,mutation,metric,1,typed_neighbor=G@3.0
50,mutation,edge_type,1,out_edge_type=G
50,mutation,boundary,1,boundary=open
50,mutation,warrant,1,warrant=definition
50,mutation,continuation,1,continuation=0
50,mutation,role,1,role=participant
51,admissible,rename,1,
51,admissible,rigid_isometry,1,
51,admissible,edge_order,1,
51,admissible,full_iso,1,
51,mutation,metric,1,typed_neighbor=G@3.0
51,mutation,edge_type,1,out_edge_type=G
51,mutation,boundary,1,boundary=open
51,mutation,warrant,1,warrant=definition
51,mutation,continuation,1,continuation=0
51,mutation,role,1,role=participant
52,admissible,rename,1,
52,admissible,rigid_isometry,1,
52,admissible,edge_order,1,
52,admissible,full_iso,1,
52,mutation,metric,1,out_edge_type=G
52,mutation,edge_type,1,out_edge_type=G
52,mutation,boundary,1,boundary=open
52,mutation,warrant,1,warrant=definition
52,mutation,continuation,1,continuation=0
52,mutation,role,1,role=participant
53,admissible,rename,1,
53,admissible,rigid_isometry,1,
53,admissible,edge_order,1,
53,admissible,full_iso,1,
53,mutation,metric,1,out_edge_type=G
53,mutation,edge_type,1,out_edge_type=G
53,mutation,boundary,1,boundary=open
53,mutation,warrant,1,warrant=definition
53,mutation,continuation,1,continuation=0
53,mutation,role,1,role=participant
54,admissible,rename,1,
54,admissible,rigid_isometry,1,
54,admissible,edge_order,1,
54,admissible,full_iso,1,
54,mutation,metric,1,exists_same_type_metric_le=2.0
54,mutation,edge_type,1,out_edge_type=G
54,mutation,boundary,1,boundary=open
54,mutation,warrant,1,warrant=definition
54,mutation,continuation,1,continuation=0
54,mutation,role,1,role=participant
55,admissible,rename,1,
55,admissible,rigid_isometry,1,
55,admissible,edge_order,1,
55,admissible,full_iso,1,
55,mutation,metric,1,out_edge_type=G
55,mutation,edge_type,1,out_edge_type=G
55,mutation,boundary,1,boundary=open
55,mutation,warrant,1,warrant=definition
55,mutation,continuation,1,continuation=0
55,mutation,role,1,role=participant
56,admissible,rename,1,
56,admissible,rigid_isometry,1,
56,admissible,edge_order,1,
56,admissible,full_iso,1,
56,mutation,metric,1,out_edge_type=G
56,mutation,edge_type,1,out_edge_type=G
56,mutation,boundary,1,boundary=open
56,mutation,warrant,1,warrant=definition
56,mutation,continuation,1,continuation=0
56,mutation,role,1,role=participant
57,admissible,rename,1,
57,admissible,rigid_isometry,1,
57,admissible,edge_order,1,
57,admissible,full_iso,1,
57,mutation,metric,1,out_edge_type=G
57,mutation,edge_type,1,out_edge_type=G
57,mutation,boundary,1,boundary=open
57,mutation,warrant,1,warrant=definition
57,mutation,continuation,1,continuation=0
57,mutation,role,1,role=participant
58,admissible,rename,1,
58,admissible,rigid_isometry,1,
58,admissible,edge_order,1,
58,admissible,full_iso,1,
58,mutation,metric,1,out_edge_type=G
58,mutation,edge_type,1,out_edge_type=G
58,mutation,boundary,1,boundary=open
58,mutation,warrant,1,warrant=definition
58,mutation,continuation,1,continuation=0
58,mutation,role,1,role=participant
59,admissible,rename,1,
59,admissible,rigid_isometry,1,
59,admissible,edge_order,1,
59,admissible,full_iso,1,
59,mutation,metric,1,out_edge_type=G
59,mutation,edge_type,1,out_edge_type=G
59,mutation,boundary,1,boundary=open
59,mutation,warrant,1,warrant=definition
59,mutation,continuation,1,continuation=0
59,mutation,role,1,role=participant
60,admissible,rename,1,
60,admissible,rigid_isometry,1,
60,admissible,edge_order,1,
60,admissible,full_iso,1,
60,mutation,metric,1,out_edge_type=G
60,mutation,edge_type,1,out_edge_type=G
60,mutation,boundary,1,boundary=open
60,mutation,warrant,1,warrant=definition
60,mutation,continuation,1,continuation=0
60,mutation,role,1,role=participant
61,admissible,rename,1,
61,admissible,rigid_isometry,1,
61,admissible,edge_order,1,
61,admissible,full_iso,1,
61,mutation,metric,1,out_edge_type=G
61,mutation,edge_type,1,out_edge_type=G
61,mutation,boundary,1,boundary=open
61,mutation,warrant,1,warrant=definition
61,mutation,continuation,1,continuation=0
61,mutation,role,1,role=participant
62,admissible,rename,1,
62,admissible,rigid_isometry,1,
62,admissible,edge_order,1,
62,admissible,full_iso,1,
62,mutation,metric,1,out_edge_type=G
62,mutation,edge_type,1,out_edge_type=G
62,mutation,boundary,1,boundary=open
62,mutation,warrant,1,warrant=definition
62,mutation,continuation,1,continuation=0
62,mutation,role,1,role=participant
63,admissible,rename,1,
63,admissible,rigid_isometry,1,
63,admissible,edge_order,1,
63,admissible,full_iso,1,
63,mutation,metric,1,exists_metric_le=1.25
63,mutation,edge_type,1,out_edge_type=G
63,mutation,boundary,1,boundary=open
63,mutation,warrant,1,warrant=definition
63,mutation,continuation,1,continuation=0
63,mutation,role,1,role=participant
64,admissible,rename,1,
64,admissible,rigid_isometry,1,
64,admissible,edge_order,1,
64,admissible,full_iso,1,
64,mutation,metric,1,out_edge_type=G
64,mutation,edge_type,1,out_edge_type=G
64,mutation,boundary,1,boundary=open
64,mutation,warrant,1,warrant=definition
64,mutation,continuation,1,continuation=0
64,mutation,role,1,role=participant
65,admissible,rename,1,
65,admissible,rigid_isometry,1,
65,admissible,edge_order,1,
65,admissible,full_iso,1,
65,mutation,metric,1,exists_metric_le=1.25
65,mutation,edge_type,1,out_edge_type=G
65,mutation,boundary,1,boundary=open
65,mutation,warrant,1,warrant=definition
65,mutation,continuation,1,continuation=0
65,mutation,role,1,role=participant
66,admissible,rename,1,
66,admissible,rigid_isometry,1,
66,admissible,edge_order,1,
66,admissible,full_iso,1,
66,mutation,metric,1,typed_neighbor=G@1.25
66,mutation,edge_type,1,out_edge_type=G
66,mutation,boundary,1,boundary=open
66,mutation,warrant,1,warrant=definition
66,mutation,continuation,1,continuation=0
66,mutation,role,1,role=participant
67,admissible,rename,1,
67,admissible,rigid_isometry,1,
67,admissible,edge_order,1,
67,admissible,full_iso,1,
67,mutation,metric,1,out_edge_type=G
67,mutation,edge_type,1,out_edge_type=G
67,mutation,boundary,1,boundary=open
67,mutation,warrant,1,warrant=definition
67,mutation,continuation,1,continuation=0
67,mutation,role,1,role=participant
68,admissible,rename,1,
68,admissible,rigid_isometry,1,
68,admissible,edge_order,1,
68,admissible,full_iso,1,
68,mutation,metric,1,out_edge_type=G
68,mutation,edge_type,1,out_edge_type=G
68,mutation,boundary,1,boundary=open
68,mutation,warrant,1,warrant=definition
68,mutation,continuation,1,continuation=0
68,mutation,role,1,role=participant
69,admissible,rename,1,
69,admissible,rigid_isometry,1,
69,admissible,edge_order,1,
69,admissible,full_iso,1,
69,mutation,metric,1,out_edge_type=G
69,mutation,edge_type,1,out_edge_type=G
69,mutation,boundary,1,boundary=open
69,mutation,warrant,1,warrant=definition
69,mutation,continuation,1,continuation=0
69,mutation,role,1,role=participant
70,admissible,rename,1,
70,admissible,rigid_isometry,1,
70,admissible,edge_order,1,
70,admissible,full_iso,1,
