world,complete_max_regret,open_max_regret,aggregate_max_regret,complete_mean_regret,open_mean_regret,aggregate_mean_regret
6050,0.027740941792069762,0.06087622042680896,4.535396869156876,0.0011558725746695735,0.003692381759119947,1.2310552540107549
6051,0.06729920025176828,0.15789357724365316,4.036696539231062,0.00556979297623406,0.009434898479085773,1.445947160476642
6052,0.0,0.0,3.983582495235421,0.0,0.0,1.370767730748719
6053,0.058405112855157926,0.058405112855157926,4.296586620452004,0.0028145045919009217,0.0027774641576761385,1.0984483135327352
6054,0.038871904752900255,0.038871904752900255,4.478350162972869,0.0016196626980375106,0.0016196626980375106,1.5309445889807403
6055,0.0746288732267324,0.0,4.648117612249164,0.0031095363844471833,0.0,1.5333834922538891
6056,0.0,0.0,4.079366612784194,0.0,0.0,1.482668778240163
6057,0.08705983769408987,0.08705983769408987,3.359180095226034,0.0036274932372537447,0.0036274932372537447,1.4305297836459692
6058,0.020716496487666047,0.7415568113192625,3.4879670821639746,0.000863187353652752,0.03354039273210453,1.1983250367201832
6059,0.0,0.0,3.9119041205964082,0.0,0.0,1.4143386213580638
6060,0.0,0.08578582391173656,3.694858570261977,0.0,0.00357440932965569,1.451523299672191
6061,0.0,0.0943555373236945,3.702625282216964,0.0,0.004498662248303351,1.2744224929710366
6062,0.0,1.1674332709236102,3.4834863066572765,0.0,0.04864305295515042,1.3812577457133663
6063,0.09572461145618849,0.24895878752391676,3.7178045071531027,0.003988525477341187,0.014361808290837719,1.495993160803532
6064,0.0,0.11500257627965027,3.0870076013932004,0.0,0.004791774011652095,1.4868438325835822
6065,0.0,0.0,3.56979667375147,0.0,0.0,1.29920929069648
6066,0.05340819462347879,1.2503490988826031,4.21997525885345,0.004327853614995279,0.06039435745914403,1.4848723450490606
6067,0.05292590323582036,0.05292590323582036,3.0204282251294208,0.003340414496735227,0.003340414496735227,1.2448205856153427
6068,0.0,0.07654428070396779,3.814493170798248,0.0,0.0042204457579403665,1.3578659858077102
6069,0.04628158450759723,0.04628158450759723,3.6528246700470266,0.0019283993544832179,0.003008650334847147,1.1487553985811603
6070,0.0,0.0,2.937734446046907,0.0,0.0,1.1625687729106104
6071,0.07427643637685644,0.07427643637685644,4.952026606441404,0.0030948515157023515,0.0030948515157023515,1.3931378412614113
6072,0.0,0.0,2.8724471808179057,0.0,0.0,1.1426187371761718
6073,0.10072383939798757,0.10072383939798757,4.135795814972941,0.005952058297959699,0.005471972957777983,1.4520757879379864
6074,0.004326977130270082,1.0941119587117767,4.847778853861453,0.0001802907137612534,0.048941664298302066,1.3648238345621035
6075,0.07513854306632706,0.17727286581985813,3.221393086839532,0.007517604085471849,0.014903973494632605,0.9654161642205207
6076,0.09559488029439933,0.09559488029439933,4.692738669352676,0.003983120012266639,0.003983120012266639,1.2588977790826676
6077,0.055547962763979775,0.055547962763979775,2.766108334731189,0.003130568122067972,0.003130568122067972,1.1539533608335766
6078,0.0,0.0,3.3478108389573205,0.0,0.0,1.2733481713195416
6079,0.0,0.0,3.9687485436582834,0.0,0.0,1.547138846791264
6080,0.08417526940991404,0.0,4.0543778792342104,0.003507302892079752,0.0,1.5107460041788607
6081,0.0,0.16468261755757863,4.424040153506789,0.0,0.008743026244779665,1.3445602090501731
6082,0.057197410590379305,0.516671731645937,3.7018944641103078,0.0023832254412658044,0.023911214259846516,1.4442226566593357
6083,0.0,0.5599508458375314,4.035274405547591,0.0,0.027167171363904122,1.3651817343748656
6084,0.0,0.07620430492400854,4.554246136277602,0.0,0.003175179371833689,1.396559577076807
6085,0.0,0.03249093331979003,3.3729978949620785,0.0,0.0013537888883245845,1.2317331481147875
6086,0.04260951934303481,0.04260951934303481,2.480984014203133,0.0027480059056357634,0.0027480059056357634,1.159837186234672
6087,0.0,0.0,4.627393941971017,0.0,0.0,1.3542172896393334
6088,0.0,0.34132253074323826,4.318012140703767,0.0,0.014221772114301595,1.4591335132794605
6089,0.0,1.0580532533379943,2.93775525703425,0.0,0.04452998771463681,1.1908765568545958
6090,0.0,0.0,3.6530649593675775,0.0,0.0,1.3727924972110983
6091,0.08010958531653922,0.08010958531653922,3.620915514064945,0.0036516407040837473,0.0036516407040837473,1.3780518497780834
6092,0.0,0.47917542829694915,3.0625246041823746,0.0,0.02116882321681662,1.225415969122225
6093,0.0004467101652566585,0.0004467101652566585,5.005093543976038,1.861292355236077e-05,1.861292355236077e-05,1.2997578469020619
6094,0.023129984310171547,0.6174068463547937,5.666871958106978,0.0009637493462571478,0.030152620079468628,1.4509441943947199
6095,0.07183553185389313,0.07183553185389313,3.7076658330682295,0.0029931471605788803,0.0029931471605788803,1.4198891725589347
6096,0.04018205528556107,0.852259443681747,3.4839580399439893,0.003007792065319511,0.03756172480340087,1.121294330478351
6097,0.006925070715308235,0.25151194330352045,3.447768661382777,0.00045800559263564633,0.010768208917451194,1.348760814780121
6098,0.0,0.06001025817384087,3.934639823575849,0.0,0.0025004274239100364,1.7594166481012874
6099,0.12196781766350662,0.08154669833467798,5.177287785367308,0.009038995197932878,0.0033977790972782493,1.339075764972826
6100,0.03093241400890956,0.03093241400890956,2.977124908024935,0.002227381845392007,0.0013090960488848502,1.3822200785761334
6101,0.0,0.07681236748234466,2.657361410663622,0.0,0.003717646406713418,1.1184772226219846
6102,0.07909843609184897,0.5067972149450448,3.054040175606521,0.003295768170493707,0.025466567853068982,1.5034699491286512
6103,0.07277931153632178,0.07277931153632178,2.5029845749662214,0.0030517683588081232,0.0030517683588081232,1.140367952722822
6104,0.00630214265834006,0.13449384898079875,3.5887796511204484,0.0002625892774308358,0.005866499651630784,1.3771320131981044
6105,0.09274867755446614,0.004525559639044996,3.56165725449787,0.004053093216396297,0.00018856498496020815,1.2969614493398003
6106,0.0008046241764620987,0.7563584315553171,4.441656202231782,3.352600735258745e-05,0.0569587575197579,1.3232813858688404
6107,0.021154517249024618,0.09165365256582758,4.327171905159579,0.0008814382187093591,0.0038189021902428157,1.285345527965258
6108,0.0,0.0,3.7147181626978947,0.0,0.0,1.3520276510896014
6109,0.02996509424085736,0.02996509424085736,3.294114205893977,0.00243484352311966,0.00243484352311966,1.211737191027181
6110,0.0,0.09000462205452542,4.003689442045962,0.0,0.0037501925856052256,1.3556936854859878
6111,0.022843678474426587,0.3896591925169526,5.037837741353737,0.0009518199364344412,0.029454780858155588,1.6478524875150118
6112,0.007365239773934107,0.15238471981875967,4.552794275134057,0.00030688499058058777,0.006656248316362241,1.5618814371409468
6113,0.09321244896472458,0.0,3.5042725820963083,0.0038838520401968577,0.0,1.4217508901705174
6114,0.0,0.0,4.838206743689321,0.0,0.0,1.430223176774338
6115,0.10976584767395636,0.0789176880976612,3.9815723315904097,0.004691914114035629,0.003406574131689997,1.7214537984656602
6116,0.04353036203495497,1.1160163095065356,3.4720401889953614,0.001858485175691968,0.07751038714733514,1.428800143661644
6117,0.10649758898603068,0.49706788390397083,3.6801110306707994,0.005115323882694363,0.02582648571202648,1.275275676961203
6118,0.012652810668775993,0.012652810668775993,4.064335826910195,0.0005272004445323331,0.0005272004445323331,1.2817108307978107
6119,0.0,1.0801610722885346,3.021795493922826,0.0,0.04500671134535561,1.2994450571609844
6120,0.0,0.0,3.510692474750063,0.0,0.0,1.3321103712768927
6121,0.0,0.06731902749736218,4.146595793914602,0.0,0.0028805970870659455,1.2808923550299398
6122,0.0,0.03994573609175167,3.1376006175867928,0.0,0.001664405670489653,1.3710205028772415
6123,0.07405065970851754,0.4620315384722815,3.2858098726496117,0.006095693470209783,0.022593169754449593,1.2430688024917556
6124,0.05863587406850934,0.0,5.130683211541144,0.0024431614195212226,0.0,1.2578745280210435
6125,0.0,0.0860944988115504,3.6894179588246176,0.0,0.006786782526158441,1.099973186779324
6126,0.0,0.02210994348602946,3.5933400874664176,0.0,0.0009212476452512275,1.2331696891555621
6127,0.027235163801162532,0.3490384621114543,3.190467273418761,0.0015777914058859495,0.016121060660529877,1.446052996524232
6128,0.0,0.06954192708024265,3.2908986909479045,0.0,0.0028975802950101104,1.5677900607837874
6129,0.0,1.343555286387774,3.325188313798771,0.0,0.05598147026615725,1.3807729181926778
6130,0.0,1.0018825090377885,3.695249683960304,0.0,0.041745104543241186,1.3152735099926205
6131,0.09007006481033769,0.02998763951306535,3.5712083327476876,0.0037529193670974037,0.0012494849797110563,1.6497764542240023
6132,0.0,0.030963733215791267,3.448868071371546,0.0,0.0012901555506579694,1.2878039573621491
6133,0.006857750060333068,0.006857750060333068,3.4088022037332033,0.00028573958584721115,0.00028573958584721115,1.1834269394795485
6134,0.011675983230516218,0.42927075185846464,3.2986896789650197,0.0004864993012715091,0.018372780628707536,1.5209999597147486
6135,0.04215713947594335,0.0,4.622463678091005,0.0017565474781643063,0.0,1.4497891471738014
