world,holonomy_iso_gauge,typed_cycle_iso,closure_iso,path_association,transport_mutation_detected,edge_type_mutation_detected,metric_mutation_detected,direct_graph_bytes,worldsheet_cycle_bytes
550,1,1,1,1,1,1,1,828,314
551,1,1,1,1,1,1,1,804,334
552,1,1,1,1,1,1,1,776,315
553,1,1,1,1,1,1,1,913,373
554,1,1,1,1,1,1,1,1110,405
555,1,1,1,1,1,1,1,601,260
556,1,1,1,1,1,1,1,1117,366
557,1,1,1,1,1,1,1,790,300
558,1,1,1,1,1,1,1,900,325
559,1,1,1,1,1,1,1,579,275
560,1,1,1,1,1,1,1,926,337
561,1,1,1,1,1,1,1,987,379
562,1,1,1,1,1,1,1,581,241
563,1,1,1,1,1,1,1,924,337
564,1,1,1,1,1,1,1,1269,414
565,1,1,1,1,1,1,1,894,327
566,1,1,1,1,1,1,1,652,275
567,1,1,1,1,1,1,1,829,314
568,1,1,1,1,1,1,1,736,272
569,1,1,1,1,1,1,1,871,324
570,1,1,1,1,1,1,1,1166,400
571,1,1,1,1,1,1,1,1114,365
572,1,1,1,1,1,1,1,702,293
573,1,1,1,1,1,1,1,633,266
574,1,1,1,1,1,1,1,680,285
575,1,1,1,1,1,1,1,1044,369
576,1,1,1,1,1,1,1,694,257
577,1,1,1,1,1,1,1,1089,397
578,1,1,1,1,1,1,1,561,260
579,1,1,1,1,1,1,1,707,270
580,1,1,1,1,1,1,1,897,350
581,1,1,1,1,1,1,1,1202,412
582,1,1,1,1,1,1,1,987,358
583,1,1,1,1,1,1,1,938,344
584,1,1,1,1,1,1,1,662,251
585,1,1,1,1,1,1,1,525,257
586,1,1,1,1,1,1,1,645,259
587,1,1,1,1,1,1,1,1310,402
588,1,1,1,1,1,1,1,938,340
589,1,1,1,1,1,1,1,871,305
590,1,1,1,1,1,1,1,573,247
591,1,1,1,1,1,1,1,836,319
592,1,1,1,1,1,1,1,614,275
593,1,1,1,1,1,1,1,1118,406
594,1,1,1,1,1,1,1,631,262
595,1,1,1,1,1,1,1,728,283
596,1,1,1,1,1,1,1,1061,369
597,1,1,1,1,1,1,1,915,344
598,1,1,1,1,1,1,1,1006,360
599,1,1,1,1,1,1,1,540,236
